"year","CH4","N2O"
2000,0.905963228,0.670794216
2001,0.89713685,0.667958984
2002,0.886109365,0.683608066
2003,0.874210993,0.692828753
2004,0.860527608,0.707417253
2005,0.860401773,0.696136016
2006,0.845946866,0.714892911
2007,0.842749221,0.72317293
2008,0.828723285,0.728823159
2009,0.812739283,0.735309159
2010,0.807629378,0.793348027
2011,0.793743758,0.793199444
2012,0.7798247,0.800912548
2013,0.775775628,0.807546981
2014,0.761144758,0.845375191
2015,0.74537858,0.849618056
2016,0.738963463,0.854805967
2017,0.725864603,0.869497128
2018,0.762157833,0.912971992
